local,ano,populacao_total,pop_masculino,pop_feminino
Brasil,2000,169872856,83602317,86270539
Brasil,2001,172385826,84919564,87286368
Brasil,2002,174632960,86108080,88160403
Brasil,2003,176871437,87294422,89023292
Brasil,2004,181569056,89697705,91113445
Brasil,2005,184184264,91075663,92147573
Brasil,2006,186770562,92441754,93159380
Brasil,2007,108765037,53883849,54086675
Brasil,2008,189605006,93569958,95111689
Brasil,2009,191480630,94128747,96885637
Brasil,2010,190755799,93406990,97348809
Brasil,2011,192379287,94130147,98249140
Brasil,2012,193904015,94803806,99100209
Brasil,2013,201032714,98214135,102818579
Brasil,2014,202768562,98986489,103782073
Brasil,2015,204450049,99731029,104719020
Brasil,2016,206081432,100449892,105631540
Brasil,2017,207660929,101142266,106518663
Brasil,2018,208494900,101470627,107024273
Brasil,2019,210147125,102196288,107950837
Brasil,2020,211755692,102899502,108856190
Brasil,2021,213317639,103578877,109738762
Brasil,2022,203080756,98532431,104548325
Centro-Oeste,2000,11638658,5801654,5837004
Centro-Oeste,2001,11885529,5930242,5940614
Centro-Oeste,2002,12101540,6043648,6028014
Centro-Oeste,2003,12317271,6157115,6114540
Centro-Oeste,2004,12760734,6384726,6312996
Centro-Oeste,2005,13020767,6520887,6419510
Centro-Oeste,2006,13269517,6651633,6519597
Centro-Oeste,2007,8525413,4277513,4174228
Centro-Oeste,2008,13695949,6847895,6769152
Centro-Oeste,2009,13895375,6923393,6931956
Centro-Oeste,2010,14058094,6979971,7078123
Centro-Oeste,2011,14244192,7066510,7177682
Centro-Oeste,2012,14419229,7147413,7271816
Centro-Oeste,2013,14993191,7425750,7567441
Centro-Oeste,2014,15219608,7531627,7687981
Centro-Oeste,2015,15442232,7635443,7806789
Centro-Oeste,2016,15660988,7737164,7923824
Centro-Oeste,2017,15875907,7836811,8039096
Centro-Oeste,2018,16085885,7933844,8152041
Centro-Oeste,2019,16297074,8031302,8265772
Centro-Oeste,2020,16504303,8126636,8377667
Centro-Oeste,2021,16707336,8219734,8487602
Centro-Oeste,2022,16289538,8007483,8282055
Nordeste,2000,47782487,23430808,24351679
Nordeste,2001,48331186,23706432,24577408
Nordeste,2002,48845112,23965144,24784270
Nordeste,2003,49352225,24220652,24986535
Nordeste,2004,50424713,24753845,25473282
Nordeste,2005,51019091,25052556,25716641
Nordeste,2006,51609027,25349247,25956441
Nordeste,2007,40060034,19682068,20103264
Nordeste,2008,53080679,26022340,26815680
Nordeste,2009,53591197,26215112,27253589
Nordeste,2010,53081950,25909046,27172904
Nordeste,2011,53501859,26092732,27409127
Nordeste,2012,53907144,26268957,27638187
Nordeste,2013,55794707,27166585,28628122
Nordeste,2014,56186190,27334862,28851328
Nordeste,2015,56559481,27493984,29065497
Nordeste,2016,56915936,27644633,29271303
Nordeste,2017,57254159,27786149,29468010
Nordeste,2018,56760780,27524141,29236639
Nordeste,2019,57071654,27652199,29419455
Nordeste,2020,57374243,27775999,29598244
Nordeste,2021,57667842,27895210,29772632
Nordeste,2022,54658515,26417802,28240713
Norte,2000,12911170,6536901,6374269
Norte,2001,13245084,6700921,6519065
Norte,2002,13504599,6827075,6626345
Norte,2003,13784881,6963522,6742997
Norte,2004,14373260,7255276,7009042
Norte,2005,14698878,7414047,7145568
