grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Feminino,2000,1,2000-01-01,124,7189211.583333333,1.7248066573456788
Feminino,2000,2,2000-02-01,122,7189211.583333333,1.6969871951304256
Feminino,2000,3,2000-03-01,100,7189211.583333333,1.390973110762644
Feminino,2000,4,2000-04-01,106,7189211.583333333,1.4744314974084027
Feminino,2000,5,2000-05-01,111,7189211.583333333,1.5439801529465351
Feminino,2000,6,2000-06-01,113,7189211.583333333,1.5717996151617877
Feminino,2000,7,2000-07-01,114,7189211.583333333,1.585709346269414
Feminino,2000,8,2000-08-01,112,7189211.583333333,1.5578898840541615
Feminino,2000,9,2000-09-01,103,7189211.583333333,1.4327023040855236
Feminino,2000,10,2000-10-01,144,7189211.583333333,2.0030012794982075
Feminino,2000,11,2000-11-01,118,7189211.583333333,1.6413482706999198
Feminino,2000,12,2000-12-01,115,7189211.583333333,1.599619077377041
Feminino,2001,1,2001-01-01,132,7273864,1.8147163598329579
Feminino,2001,2,2001-02-01,132,7273864,1.8147163598329579
Feminino,2001,3,2001-03-01,139,7273864,1.9109513183089484
Feminino,2001,4,2001-04-01,134,7273864,1.8422120622546694
Feminino,2001,5,2001-05-01,117,7273864,1.608498591670122
Feminino,2001,6,2001-06-01,116,7273864,1.5947507404592662
Feminino,2001,7,2001-07-01,131,7273864,1.8009685086221021
Feminino,2001,8,2001-08-01,133,7273864,1.8284642110438136
Feminino,2001,9,2001-09-01,152,7273864,2.089673384050073
Feminino,2001,10,2001-10-01,99,7273864,1.3610372698747186
Feminino,2001,11,2001-11-01,140,7273864,1.9246991695198041
Feminino,2001,12,2001-12-01,135,7273864,1.8559599134655251
Feminino,2002,1,2002-01-01,136,7346700.25,1.851171211184232
Feminino,2002,2,2002-02-01,125,7346700.25,1.7014441279266836
Feminino,2002,3,2002-03-01,145,7346700.25,1.9736751883949533
Feminino,2002,4,2002-04-01,141,7346700.25,1.9192289763012993
Feminino,2002,5,2002-05-01,145,7346700.25,1.9736751883949533
Feminino,2002,6,2002-06-01,113,7346700.25,1.5381054916457222
Feminino,2002,7,2002-07-01,147,7346700.25,2.00089829444178
Feminino,2002,8,2002-08-01,155,7346700.25,2.109790718629088
Feminino,2002,9,2002-09-01,141,7346700.25,1.9192289763012993
Feminino,2002,10,2002-10-01,153,7346700.25,2.082567612582261
Feminino,2002,11,2002-11-01,145,7346700.25,1.9736751883949533
Feminino,2002,12,2002-12-01,148,7346700.25,2.0145098474651935
