grupo,ano,mes,data,obitos,pop_mensal,taxa_mensal
Total,2000,1,2000-01-01,610,14156071.333333334,4.309105158036549
Total,2000,2,2000-02-01,554,14156071.333333334,3.913515176315161
Total,2000,3,2000-03-01,585,14156071.333333334,4.132502487625215
Total,2000,4,2000-04-01,548,14156071.333333334,3.871130535416441
Total,2000,5,2000-05-01,522,14156071.333333334,3.687463758188654
Total,2000,6,2000-06-01,520,14156071.333333334,3.673335544555747
Total,2000,7,2000-07-01,525,14156071.333333334,3.708656078638014
Total,2000,8,2000-08-01,555,14156071.333333334,3.920579283131614
Total,2000,9,2000-09-01,532,14156071.333333334,3.7581048263531875
Total,2000,10,2000-10-01,651,14156071.333333334,4.598733537511137
Total,2000,11,2000-11-01,555,14156071.333333334,3.920579283131614
Total,2000,12,2000-12-01,621,14156071.333333334,4.386810333017536
Total,2001,1,2001-01-01,684,14365485.5,4.761412344887335
Total,2001,2,2001-02-01,619,14365485.5,4.308938949539854
Total,2001,3,2001-03-01,691,14365485.5,4.8101402490016785
Total,2001,4,2001-04-01,659,14365485.5,4.587384115907534
Total,2001,5,2001-05-01,611,14365485.5,4.253249916266317
Total,2001,6,2001-06-01,641,14365485.5,4.462083791042078
Total,2001,7,2001-07-01,620,14365485.5,4.315900078699046
Total,2001,8,2001-08-01,658,14365485.5,4.580422986748342
Total,2001,9,2001-09-01,657,14365485.5,4.57346185758915
Total,2001,10,2001-10-01,618,14365485.5,4.301977820380661
Total,2001,11,2001-11-01,610,14365485.5,4.246288787107125
Total,2001,12,2001-12-01,669,14365485.5,4.656995407499454
Total,2002,1,2002-01-01,650,14552746.666666666,4.4665107892576525
Total,2002,2,2002-02-01,638,14552746.666666666,4.384052128532896
Total,2002,3,2002-03-01,676,14552746.666666666,4.645171220827958
Total,2002,4,2002-04-01,620,14552746.666666666,4.260364137445761
Total,2002,5,2002-05-01,622,14552746.666666666,4.274107247566554
Total,2002,6,2002-06-01,562,14552746.666666666,3.8618139439427703
Total,2002,7,2002-07-01,603,14552746.666666666,4.143547701419021
Total,2002,8,2002-08-01,651,14552746.666666666,4.473382344318049
Total,2002,9,2002-09-01,633,14552746.666666666,4.349694353230914
Total,2002,10,2002-10-01,701,14552746.666666666,4.816960097337868
Total,2002,11,2002-11-01,660,14552746.666666666,4.535226339861616
Total,2002,12,2002-12-01,706,14552746.666666666,4.85131787263985
Total,2003,1,2003-01-01,683,14739286.416666666,4.633874264277052
Total,2003,2,2003-02-01,613,14739286.416666666,4.158953036605905
Total,2003,3,2003-03-01,699,14739286.416666666,4.742427687744743
Total,2003,4,2003-04-01,668,14739286.416666666,4.5321054297760925
Total,2003,5,2003-05-01,623,14739286.416666666,4.2267989262732115
Total,2003,6,2003-06-01,610,14739286.416666666,4.138599269705713
Total,2003,7,2003-07-01,594,14739286.416666666,4.030045846238022
Total,2003,8,2003-08-01,648,14739286.416666666,4.396413650441478
Total,2003,9,2003-09-01,689,14739286.416666666,4.674581798077436
Total,2003,10,2003-10-01,688,14739286.416666666,4.667797209110706
Total,2003,11,2003-11-01,673,14739286.416666666,4.566028374609746
Total,2003,12,2003-12-01,672,14739286.416666666,4.559243785643015
Total,2004,1,2004-01-01,714,15130754.666666666,4.718865752102605
Total,2004,2,2004-02-01,646,15130754.666666666,4.269449966188072
Total,2004,3,2004-03-01,698,15130754.666666666,4.613120861299185
Total,2004,4,2004-04-01,691,15130754.666666666,4.566857471572689
Total,2004,5,2004-05-01,658,15130754.666666666,4.348758634290636
Total,2004,6,2004-06-01,629,15130754.666666666,4.157096019709438
Total,2004,7,2004-07-01,575,15130754.666666666,3.8002070132478964
Total,2004,8,2004-08-01,665,15130754.666666666,4.395022024017132
Total,2004,9,2004-09-01,672,15130754.666666666,4.441285413743628
Total,2004,10,2004-10-01,669,15130754.666666666,4.421458246717987
Total,2004,11,2004-11-01,684,15130754.666666666,4.520594081846193
Total,2004,12,2004-12-01,716,15130754.666666666,4.732083863453032
Total,2005,1,2005-01-01,750,15348688.666666666,4.886410925962709
Total,2005,2,2005-02-01,661,15348688.666666666,4.306556829415134
Total,2005,3,2005-03-01,705,15348688.666666666,4.593226270404947
Total,2005,4,2005-04-01,680,15348688.666666666,4.430345906206189
Total,2005,5,2005-05-01,715,15348688.666666666,4.6583784160844495
Total,2005,6,2005-06-01,637,15348688.666666666,4.150191679784328
Total,2005,7,2005-07-01,685,15348688.666666666,4.462921979045941
Total,2005,8,2005-08-01,783,15348688.666666666,5.101413006705068
Total,2005,9,2005-09-01,701,15348688.666666666,4.5671654121331455
Total,2005,10,2005-10-01,810,15348688.666666666,5.277323800039725
Total,2005,11,2005-11-01,704,15348688.666666666,4.586711055836996
Total,2005,12,2005-12-01,718,15348688.666666666,4.6779240597883
Total,2006,1,2006-01-01,791,15564213.5,5.082171354177325
Total,2006,2,2006-02-01,685,15564213.5,4.401121842745218
Total,2006,3,2006-03-01,803,15564213.5,5.159271298867752
Total,2006,4,2006-04-01,684,15564213.5,4.394696847354349
Total,2006,5,2006-05-01,680,15564213.5,4.368996865790874
Total,2006,6,2006-06-01,627,15564213.5,4.02847211007482
Total,2006,7,2006-07-01,748,15564213.5,4.805896552369961
