ano,sexo_label,n_obitos
2000,Feminino,1382
2000,Masculino,5396
2000,Total,6778
2001,Feminino,1560
2001,Masculino,6177
2001,Total,7737
2002,Feminino,1694
2002,Masculino,6028
2002,Total,7722
2003,Feminino,1604
2003,Masculino,6256
2003,Total,7860
2004,Feminino,1706
2004,Masculino,6311
2004,Total,8017
2005,Feminino,1805
2005,Masculino,6744
2005,Total,8549
2006,Feminino,1805
2006,Masculino,6834
2006,Total,8639
2007,Feminino,1872
2007,Masculino,6996
2007,Total,8868
2008,Feminino,1953
2008,Masculino,7375
2008,Total,9328
2009,Feminino,1872
2009,Masculino,7500
2009,Total,9372
2010,Feminino,2073
2010,Masculino,7375
2010,Total,9448
2011,Feminino,2089
2011,Masculino,7762
2011,Total,9851
2012,Feminino,2257
2012,Masculino,8061
2012,Total,10318
2013,Feminino,2223
2013,Masculino,8309
2013,Total,10532
2014,Feminino,2233
2014,Masculino,8419
2014,Total,10652
2015,Feminino,2396
2015,Masculino,8780
2015,Total,11176
2016,Feminino,2378
2016,Masculino,9053
2016,Total,11431
2017,Feminino,2664
2017,Masculino,9826
2017,Total,12490
2018,Feminino,2729
2018,Masculino,9999
2018,Total,12728
2019,Feminino,2919
2019,Masculino,10599
2019,Total,13518
2020,Feminino,2964
2020,Masculino,10868
2020,Total,13832
2021,Feminino,3431
2021,Masculino,12064
2021,Total,15495
2022,Feminino,3553
2022,Masculino,12908
2022,Total,16461
