local,ano,populacao_total,pop_masculino,pop_feminino,prop_masc,prop_fem
Brasil,2000,169872856,83602317,86270539,0.4921464144924955,0.5078535855075045
Brasil,2007,108765037,53883849,54086675,0.4954151672839499,0.4972799761011436
Brasil,2010,190755799,93406990,97348809,0.48966789208856504,0.510332107911435
Brasil,2022,203080756,98532431,104548325,0.48518841933009155,0.5148115806699085
Centro-Oeste,2000,11638658,5801654,5837004,0.49848135412175526,0.5015186458782447
Centro-Oeste,2007,8525413,4277513,4174228,0.501736748706485,0.48962179310257464
Centro-Oeste,2010,14058094,6979971,7078123,0.4965090573444736,0.5034909426555264
Centro-Oeste,2022,16289538,8007483,8282055,0.49157213666833277,0.5084278633316672
Nordeste,2000,47782487,23430808,24351679,0.4903639276875647,0.5096360723124354
Nordeste,2007,40060034,19682068,20103264,0.49131431091646105,0.5018284307996344
Nordeste,2010,53081950,25909046,27172904,0.48809521880789986,0.5119047811921001
Nordeste,2022,54658515,26417802,28240713,0.4833245469621705,0.5166754530378295
Norte,2000,12911170,6536901,6374269,0.5062981124096422,0.4937018875903578
Norte,2007,12259438,6174274,5922553,0.5036343427814554,0.4831015092208958
Norte,2010,15864454,8004915,7859539,0.504581815422075,0.49541818457792497
Norte,2022,17354884,8663119,8691765,0.4991746991797813,0.5008253008202187
Sudeste,2000,72430193,35430967,36999226,0.4891739968164934,0.5108260031835067
Sudeste,2007,31077361,15404994,15469532,0.49569826730139666,0.4977749558593473
Sudeste,2010,80364410,39076647,41287763,0.4862431889937349,0.5137568110062651
Sudeste,2022,84840113,40859823,43980290,0.4816097192138346,0.5183902807861653
Sul,2000,25110348,12401987,12708361,0.49389944735134694,0.5061005526486531
Sul,2007,16842791,8345000,8417098,0.49546420186535595,0.4997448463262413
Sul,2010,27386891,13436411,13950480,0.4906146886114236,0.5093853113885763
Sul,2022,29937706,14584204,15353502,0.4871516875741916,0.5128483124258084
